하얀색	白色	飯店	星期二	天空
차	車	茶	順序	冷水
차	茶	茶	順序	冷水
차갑다	涼	熱	好	溫
차다	滿滿地	踢	戴	忍住
차다	踢	踢	戴	忍住
차다	戴	踢	戴	忍住
차다	涼	踢	戴	忍住
차례	順序	冷水	香瓜	窗
착하다	好	冷	充足	親密
찬물	冷水	香瓜	窗	蔬菜
참	真	慢慢	不如	忍心
참다	忍住	找	去找	來找
참외	香瓜	窗	蔬菜	書
창문	窗	蔬菜	書	書桌
찾다	找	去找	來找	來訪
찾아가다	去找	來找	來訪	仰望
찾아보다	來找	來訪	仰望	跳
찾아오다	來訪	仰望	跳	跳舞
채소	蔬菜	書	書桌	書櫃
책	書	書桌	書櫃	先
책상	書桌	書櫃	先	第一天
책장	書櫃	先	第一天	伙子
처음	先	第一天	伙子	牛仔褲
천천히	慢慢	不如	忍心	漸漸
첫	初次	總	一位	一個或兩個
첫날	第一天	伙子	牛仔褲	清掃
첫째	第一	千萬	九	九十
청년	伙子	牛仔褲	清掃	青少年
청바지	牛仔褲	清掃	青少年	體育館
청소	清掃	青少年	體育館	格子
청소년	青少年	體育館	格子	邀請
체육관	體育館	格子	邀請	邀請函
체크무늬	格子	邀請	邀請函	小學
쳐다보다	仰望	跳	跳舞	拍
초	初-			
초	-秒			
초대	邀請	邀請函	小學	小學生
초대장	邀請函	小學	小學生	草綠色
초등학교	小學	小學生	草綠色	巧克力
초등학생	小學生	草綠色	巧克力	最高
초록색	草綠色	巧克力	最高	最近
초콜릿	巧克力	最高	最近	中秋節
최고	最高	最近	中秋節	足球
최근	最近	中秋節	足球	很久
추다	跳	跳舞	拍	準備
추석	中秋節	中元	足球	慶祝
축구	足球	菊花	慶祝	出口
축구공	足球	慶祝	出口	出勤
축하	慶祝	出口	出勤	出發
출구	出口	出勤	出發	出席
출근	出勤	出發	出席	出入
출발	出發	出席	出入	出入境
출석	出席	出入	出入境	出差
출입	出入	出入境	出差	通勤
출입국	出入境	出差	通勤	舞
출장	出差	通勤	舞	休閒
출퇴근	通勤	舞	休閒	取消
춤	舞	休閒	取消	就職
춤추다	跳舞	拍	準備	找出
춥다	冷	充足	親密	土裡土氣
충분하다	充足	親密	土裡土氣	黑暗
취미	休閒	取消	就職	層
취소	取消	就職	層	牙科
취직	就職	層	牙科	治療
층	層	牙科	治療	裙子
치과	牙科	治療	裙子	牙膏
치다	拍	準備	找出	尋找
치료	治療	裙子	牙膏	雞肉
치마	裙子	牙膏	雞肉	朋友
치약	牙膏	雞肉	朋友	親切
치킨	雞肉	朋友	親切	親戚
친구	朋友	親切	親戚	黑板
친절	親切	親戚	黑板	床
친척	親戚	黑板	床	臥室
친하다	親密	土裡土氣	黑暗	大的
칠판	黑板	床	臥室	牙刷
침대	床	臥室	牙刷	稱讚
침실	臥室	牙刷	稱讚	車道
칫솔	牙刷	稱讚	車道	車輛
칭찬	稱讚	車道	車輛	人行道
카드	卡片	咖哩	相機	咖啡店
카레	咖哩	相機	咖啡店	切
카메라	相機	咖啡店	切	刀削麵
카페	咖啡店	切	刀削麵	加拿大
칼	切	刀削麵	加拿大	咖啡
칼국수	刀削麵	加拿大	咖啡	咖啡館
캐나다	加拿大	咖啡	咖啡館	電腦
커피	咖啡	咖啡館	電腦	杯子
커피숍	咖啡館	電腦	杯子	蛋糕
컴퓨터	電腦	杯子	蛋糕	鼻子
컵	杯子	蛋糕	鼻子	大象
케이크	蛋糕	鼻子	大象	音樂會
켜다	開	拉	養狗	變大
켜다	拉	拉	養狗	變大
켤레	-雙			
코	鼻子	大象	音樂會	可樂
코끼리	大象	音樂會	可樂	鼻涕
콘서트	音樂會	可樂	鼻涕	豆子
콜라	可樂	鼻涕	豆子	尺寸
콧물	鼻涕	豆子	尺寸	聖誕樹
콩	豆子	尺寸	聖誕樹	大聲
크기	尺寸	聖誕樹	大聲	個子
크다	大	-種	一個	三個月
크리스마스	聖誕樹	大聲	個子	間
큰소리	大聲	個子	間	活動
키	個子	間	活動	切
키우다	養狗	變大	著（火）	搭
킬로그램	-公斤			
킬로미터	-公里			
타다	著（火）	搭	沖	誕生
타다	搭	搭	沖	誕生
타다	沖	搭	沖	誕生
탁구	桌球	糖醋肉	泰國	跆拳道
탕수육	糖醋肉	泰國	跆拳道	太極旗
태국	泰國	跆拳道	太極旗	態度
태권도	跆拳道	太極旗	態度	颱風
태극기	太極旗	態度	颱風	送貨
태도	態度	颱風	送貨	計程車
태어나다	誕生	炸	開	錯
태풍	颱風	送貨	計程車	航廈
택배	送貨	計程車	航廈	網球
택시	計程車	航廈	網球	網球場
터미널	航廈	網球	網球場	桌子
테니스	網球	網球場	桌子	電視
테니스장	網球場	桌子	電視	兔子
테이블	桌子	電視	兔子	番茄
텔레비전	電視	兔子	番茄	存摺
토끼	兔子	番茄	存摺	通話
토마토	番茄	存摺	通話	下班
통장	存摺	通話	下班	出院
통화	通話	下班	出院	油炸食物
퇴근	下班	出院	油炸食物	卡車
퇴원	出院	油炸食物	卡車	T恤
튀기다	炸	開	錯	先天
튀김	油炸食物	卡車	T恤	隊
트럭	卡車	T恤	隊	他人
특별하다	特別	強	胖乎乎的	肯定是
특별히	特別	尤其	空蕩蕩	完全
특히	尤其	空蕩蕩	完全	定局
튼튼하다	強	胖乎乎的	肯定是	天藍
틀다	開	錯	先天	領（薪水）
틀리다	錯	先天	領（薪水）	禁不住
티셔츠	T恤	隊	他人	桌子
팀	隊	他人	桌子	出生
파랗다	天藍	不舒服	舒坦	綠的
파티	派對	手臂	方便	平安
팔	手臂	方便	平安	寫信
팔다	賣	慢慢地	翻	舖
팔리다	賣	翻	舖	鬆開
펴다	翻	舖	鬆開	開花
펴다	舖	舖	鬆開	開花
편리	方便	平安	寫信	平常
편안	平安	寫信	平常	平日
편지	寫信	平常	平日	葡萄
편찮다	不舒服	舒坦	綠的	普通的
편하다	舒坦	綠的	普通的	平和
평소	平常	平日	葡萄	包裝
평일	平日	葡萄	包裝	票
포도	葡萄	包裝	票	風景
포장	包裝	票	風景	平底鍋
표	票	風景	平底鍋	法國
푸르다	綠的	普通的	平和	柔軟
푹	熟睡	很	安逸	但
풀다	鬆開	開花	（花朵）盛開	挖
풍경	風景	平底鍋	法國	計劃
프라이팬	平底鍋	法國	計劃	血
프랑스	法國	計劃	血	疲勞
프로그램	計劃	血	疲勞	鋼琴
피	血	疲勞	鋼琴	披薩
피곤	疲勞	鋼琴	披薩	需要
피다	開花	（花朵）盛開	挖	散開
피아노	鋼琴	披薩	需要	鉛筆盒
피우다	（花朵）盛開	挖	散開	出版
피자	披薩	需要	鉛筆盒	蔥
필요	需要	鉛筆盒	蔥	破壞
필통	鉛筆盒	蔥	破壞	海浪
하늘	天空	天藍色	一天	住宿費
하늘색	天藍色	一天	住宿費	宿舍
하다	做	分開	生氣	放手
하루	一天	住宿費	宿舍	學校
하숙비	住宿費	宿舍	學校	學期
하숙집	宿舍	學校	學期	學年
하얗다	雪白的	空閒	華麗	優秀
하지만	但	一起	總是	每年
학교	學校	學期	學年	學生
학기	學期	學年	學生	學生證
학년	學年	學生	學生證	補習班
학생	學生	學生證	補習班	漢江
학생증	學生證	補習班	漢江	韓國
학원	補習班	漢江	韓國	韓國字
한가하다	空閒	華麗	優秀	渾濁
한강	漢江	韓國	韓國字	韓服
한국	韓國	韓國字	韓服	韓食
한글	韓國字	韓服	韓食	韓式餐廳
한두	一個或兩個	舊	間接的	感動的
한번	一次	現在的	逐個	一段時期
한복	韓服	韓食	韓式餐廳	韓屋
한식	韓食	韓式餐廳	韓屋	一杯
한식집	韓式餐廳	韓屋	一杯	款待
한옥	韓屋	一杯	款待	祖母
한잔	一杯	款待	祖母	祖父
한턱	款待	祖母	祖父	折扣
할머니	祖母	祖父	折扣	航空
할아버지	祖父	折扣	航空	機票
할인	折扣	航空	機票	太陽
함께	一起	總是	每年	如果
항공	航空	機票	太陽	海外
항공권	機票	太陽	海外	海外旅遊
항상	總是	每年	如果	活躍的
해	-年	海外	海外旅遊	漢堡
해	太陽	海外	海外旅遊	漢堡
해마다	每年	如果	活躍的	更
해외	海外	海外旅遊	漢堡	陽光
해외여행	海外旅遊	漢堡	陽光	行動
햄버거	漢堡	陽光	行動	幸福
햇빛	陽光	行動	幸福	活動
행동	行動	幸福	活動	腰部
행복	幸福	活動	腰部	健身房
행사	活動	腰部	健身房	舌頭
허리	腰部	健身房	舌頭	現金
헤어지다	分開	重來	生氣	流動
헬스클럽	健身房	舌頭	現金	哥哥
혀	舌頭	現金	哥哥	兄弟
현금	現金	哥哥	兄弟	老虎
현재	現在的	逐個	一段時期	很久
형	哥哥	兄弟	老虎	湖水
형제	兄弟	老虎	湖水	紅茶
호랑이	老虎	湖水	紅茶	憤怒
호수	湖水	紅茶	憤怒	畫家
혹시	如果	活躍的	更	也是
혼자	一個人	好	嗯	這樣啊
홍차	紅茶	憤怒	畫家	衛生間
화	憤怒	畫家	衛生間	化妝品
화가	畫家	衛生間	化妝品	歡迎
화나다	生氣	高興	流動	揮
화내다	生氣	流動	揮	飄
화려하다	華麗	優秀	渾濁	吃力
화장실	衛生間	化妝品	歡迎	病人
화장품	化妝品	歡迎	病人	換匯
환영	歡迎	病人	換匯	公司
환자	病人	換匯	公司	會社員
환전	換匯	公司	會社員	灰色
활발히	活躍的	更	也是	很
회	-回	會談	恢復	會費
회사	公司	會社員	灰色	會員
회사원	會社員	灰色	會員	會議
회색	灰色	會員	會議	斑馬線
회원	會員	會議	斑馬線	後
회의	會議	斑馬線	後	新人
횡단보도	斑馬線	後	新人	假期
후	後	新人	假期	休息室
후배	新人	假期	休息室	手機
훌륭하다	優秀	渾濁	吃力	有害
훨씬	更	也是	很	總之
휴가	假期	休息室	手機	假日
휴게실	休息室	手機	假日	衛生紙
휴대폰	手機	假日	衛生紙	垃圾箱
휴일	假日	衛生紙	垃圾箱	希望
휴지	衛生紙	垃圾箱	希望	白色
휴지통	垃圾箱	希望	白色	力量
흐르다	流動	揮	飄	結合
흐리다	渾濁	吃力	有害	險峻
흔들다	揮	飄	結合	合為
흘리다	飄	結合	合為	完成
희망	希望	白色	力量	下
흰색	白色	力量	下	上帝
힘	力量	下	上帝	住宿
힘들다	吃力	有害	險峻	和暢
